phase,dayno,mood_relaxed,mood_down,mood_irritat,mood_satisfi,mood_lonely,mood_anxious,mood_enthus,mood_suspic,mood_cheerf,mood_guilty,mood_doubt,mood_strong,pat_restl,pat_agitate,pat_worry,pat_concent,se_selflike,se_ashamed,se_selfdoub
2,265,5,0,2,5,0,0,3,1,4,0,2,3,2,2,1,5,5,1,2
2,265,4,1,3,2,0,0,3,2,4,0,1,4,2,3,1,5,5,1,2
2,265,5,-1,1,6,-1,-1,5,1,5,-1,1,5,1,1,1,5,5,1,1
2,266,5,0,2,5,0,0,4,1,4,0,2,4,1,1,1,4,5,1,2
2,266,4,-1,1,6,-1,-1,5,1,5,-1,1,5,1,2,1,5,5,1,1
2,266,4,0,3,4,0,0,4,1,4,0,1,5,2,2,1,4,5,1,2
2,266,5,0,2,5,0,0,4,1,5,0,1,4,2,2,1,5,5,1,1
2,266,5,0,2,4,0,0,4,1,4,0,2,4,1,2,1,4,5,1,2
2,266,5,0,2,5,0,0,3,1,4,0,2,5,2,2,1,4,5,1,2
2,267,5,-1,1,6,-1,-1,5,1,5,-1,1,5,1,1,1,5,5,1,1
2,267,5,0,1,5,0,0,4,1,5,0,1,5,1,1,1,5,5,1,1
2,267,5,0,1,5,0,0,4,1,5,-1,1,6,1,1,1,5,5,1,1
2,267,5,-1,1,5,-2,-1,5,1,5,-1,1,5,1,1,1,5,5,1,1
2,267,4,0,2,5,0,0,4,1,5,0,1,5,1,1,1,5,5,1,1
2,267,4,0,1,4,0,0,3,1,3,0,1,3,1,1,1,4,5,1,2
2,267,4,0,1,5,0,0,3,1,4,0,1,4,1,2,1,4,4,1,2
3,268,4,1,2,3,0,0,3,1,4,0,2,4,2,2,1,4,5,1,2
3,268,4,0,3,4,0,0,4,1,3,0,3,4,1,3,1,4,5,1,3
3,268,3,0,3,3,-1,0,3,1,3,-1,1,4,3,3,1,5,5,1,2
3,268,2,0,5,3,0,0,3,2,3,0,1,3,3,4,1,4,5,1,3
3,268,5,0,2,4,0,0,4,1,4,0,1,5,1,1,1,5,5,1,1
3,268,4,0,1,4,0,0,4,1,4,0,1,4,1,1,1,5,5,1,2
3,269,5,0,1,6,0,0,5,1,4,0,1,5,1,1,1,5,5,1,1
3,269,4,0,2,5,0,0,4,1,5,0,2,5,2,1,1,5,5,1,1
3,269,5,0,2,3,0,0,4,1,3,0,2,3,2,2,1,4,5,1,2
3,269,5,-1,1,6,-1,-1,6,1,6,-1,1,6,1,1,1,5,5,1,1
3,269,5,-1,2,5,-1,-1,5,1,5,-1,1,5,1,1,1,5,5,1,1
3,269,4,0,1,5,0,0,4,1,4,0,1,4,1,1,1,5,5,1,1
3,269,3,0,4,3,0,0,3,1,4,0,1,3,1,3,1,4,5,2,2
3,269,5,0,1,6,0,0,4,1,5,0,1,5,1,1,1,5,5,1,1
3,270,5,0,1,5,0,0,4,1,5,0,2,5,2,1,1,5,5,1,2
